Group,Stimuli_Type,Item,PrimeCondition,Sentence,Picture1,Picture2,CorPic
B,Target,T18,Uwide,K&otildeik mikrofonid ei ole kastides,microphone_none.png,microphone_some.png,L
B,Filler_Type1,F27,NA,K&otildeik elevandid on kastides,elephant_some.png,elephant_all.png,R
B,Filler_Type2,F54,NA,Porgandid on kastides,carrot_all.png,dinosaur_all.png,L
B,Filler_Type1,F26,NA,K&otildeik raamatud on kastides,book_some.png,book_all.png,L
B,Prime,P34,NegWide,K&otildeik hobused ei ole kastides,horse_all.png,horse_some.png,R
B,Prime,P33,NegWide,K&otildeik laevad ei ole kastides,boat_some.png,boat_all.png,L
B,Target,T17,NegWide,K&otildeik kingad ei ole kastides,shoe_none.png,shoe_some.png,L
B,Filler_Type1,F25,NA,K&otildeik hamburgerid on kastides,hamburger_all.png,hamburger_none.png,L
B,Filler_Type2,F53,NA,Lennukid on kastides,airplane_all.png,hat_all.png,L
B,Filler_Type2,F52,NA,Kroonid on kastides,crown_all.png,camel_all.png,L
B,Filler_Type2,F51,NA,Telefonid on kastides,chicken_all.png,telephone_all.png,R
B,Prime,P32,Uwide,K&otildeik t-s&aumlrgid ei ole kastides,t-shirt_all.png,t-shirt_none.png,R
B,Prime,P31,Uwide,K&otildeik tassid ei ole kastides,cup_none.png,cup_all.png,L
B,Target,T16,Uwide,K&otildeik pandad ei ole kastides,panda_some.png,panda_none.png,R
B,Filler_Type1,F24,NA,K&otildeik porgandid on kastides,carrot_some.png,carrot_all.png,R
B,Filler_Type1,F23,NA,K&otildeik kaelkirjakud on kastides,giraffe_some.png,giraffe_all.png,R
B,Prime,P30,Uwide,K&otildeik sokid ei ole kastides,sock_none.png,sock_all.png,L
B,Prime,P29,Uwide,K&otildeik haamrid ei ole kastides,hammer_none.png,hammer_all.png,L
B,Target,T15,Uwide,K&otildeik telefonid ei ole kastides,telephone_some.png,telephone_none.png,R
B,Filler_Type2,F50,NA,Dinosaurused on kastides,dinosaur_all.png,dog_all.png,L
B,Filler_Type1,F22,NA,K&otildeik &otildehupallid on kastides,balloon_all.png,balloon_none.png,L
B,Filler_Type2,F49,NA,Kingad on kastides,shoe_all.png,muffin_all.png,L
B,Filler_Type2,F48,NA,Maasikad on kastides ,bicycle_all.png,strawberry_all.png,R
B,Prime,P28,NegWide,K&otildeik kaelkirjakud ei ole kastides,giraffe_all.png,giraffe_some.png,R
B,Prime,P27,NegWide,K&otildeik lusikad ei ole kastides,spoon_all.png,spoon_some.png,R
B,Target,T14,NegWide,K&otildeik rongid ei ole kastides,train_some.png,train_none.png,R
B,Filler_Type2,F47,NA,Muffinid on kastides,muffin_all.png,banana_all.png,L
B,Filler_Type2,F46,NA,Tassid on kastides,cup_all.png,hamburger_all.png,L
B,Filler_Type1,F21,NA,K&otildeik lilled on kastides,flower_all.png,flower_none.png,L
B,Filler_Type1,F20,NA,K&otildeik kaamelid on kastides,camel_none.png,camel_all.png,R
B,Prime,P26,Uwide,K&otildeik vihmavarjud ei ole kastides,umbrella_all.png,umbrella_none.png,R
B,Prime,P25,Uwide,K&otildeik prillid ei ole kastides,glasses_all.png,glasses_none.png,R
B,Target,T13,Uwide,K&otildeik pallid ei ole kastides,ball_none.png,ball_some.png,L
B,Filler_Type2,F45,NA,Kruvid on kastides,cup_all.png,nail_all.png,R
B,Filler_Type2,F44,NA,Laevad on kastides,elephant_all.png,ship_all.png,R
B,Prime,P24,Uwide,K&otildeik lambad ei ole kastides,sheep_all.png,sheep_none.png,R
B,Prime,P23,Uwide,K&otildeik kaamerad ei ole kastides,camera_all.png,camera_none.png,R
B,Target,T12,Uwide,K&otildeik muffinid ei ole kastides,muffin_some.png,muffin_none.png,R
B,Filler_Type2,F43,NA,V&otildetmed on kastides,key_all.png,pineapple_all.png,L
B,Filler_Type1,F19,NA,K&otildeik jalgrattad on kastides,bicycle_all.png,bicycle_some.png,L
B,Filler_Type2,F42,NA,Kaamerad on kastides ,camera_all.png,melon_all.png,L
B,Prime,P22,NegWide,K&otildeik banaanid ei ole kastides,banana_some.png,banana_all.png,L
B,Prime,P21,NegWide,K&otildeik mootorrattad ei ole kastides,motorcycle_some.png,motorcycle_all.png,L
B,Target,T11,NegWide,K&otildeik kaamelid ei ole kastides,camel_some.png,camel_none.png,R
B,Filler_Type1,F18,NA,K&otildeik puud on kastides,tree_some.png,tree_all.png,R
B,Filler_Type1,F17,NA,K&otildeik &otildeunad on kastides,apple_all.png,apple_none.png,L
B,Filler_Type1,F16,NA,K&otildeik j&auml&aumltised on kastides,icecream_some.png,icecream_all.png,R
B,Filler_Type2,F41,NA,Koerad on kastides,crown_all.png,dog_all.png,R
B,Prime,P20,Uwide,K&otildeik sead ei ole kastides,pig_none.png,pig_all.png,L
B,Prime,P19,Uwide,K&otildeik ananassid ei ole kastides,pineapple_none.png,pineapple_all.png,L
B,Target,T10,Uwide,K&otildeik kroonid ei ole kastides,crown_none.png,crown_some.png,L
B,Filler_Type1,F15,NA,K&otildeik pliiatsid on kastides,pencil_all.png,pencil_some.png,L
B,Filler_Type1,F14,NA,K&otildeik siilid on kastides ,hedgehog_all.png,hedgehog_some.png,L
B,Filler_Type1,F13,NA,K&otildeik hobused on kastides,horse_all.png,horse_none.png,L
B,Filler_Type2,F40,NA,J&auml&aumltised on kastides,fish_all.png,icecream_all.png,R
B,Prime,P18,NegWide,K&otildeik kanad ei ole kastides,chicken_all.png,chicken_some.png,R
B,Prime,P17,NegWide,K&otildeik hiired ei ole kastides,mouse_some.png,mouse_all.png,L
B,Target,T9,NegWide,K&otildeik raamatud ei ole kastides,book_some.png,book_none.png,R
B,Filler_Type1,F12,NA,K&otildeik tassid on kastides ,cup_none.png,cup_all.png,R
B,Filler_Type2,F39,NA,Haamrid on kastides,hammer_all.png,dinosaur_all.png,L
B,Filler_Type1,F11,NA,K&otildeik kanad on kastides,chicken_none.png,chicken_all.png,R
B,Prime,P16,Uwide,K&otildeik lehmad ei ole kastides,cow_none.png,cow_all.png,L
B,Prime,P15,Uwide,K&otildeik seened ei ole kastides,mushroom_all.png,mushroom_none.png,R
B,Target,T8,Uwide,K&otildeik jalgrattad ei ole kastides,bicycle_none.png,bicycle_some.png,L
B,Filler_Type2,F38,NA,Kanad on kastides,chicken_all.png,tree_all.png,L
B,Filler_Type1,F10,NA,K&otildeik banaanid on kastides ,banana_all.png,banana_none.png,L
B,Filler_Type1,F9,NA,K&otildeik kalad on kastides,fish_none.png,fish_all.png,R
B,Prime,P14,NegWide,K&otildeik pirnid ei ole kastides,pear_all.png,pear_some.png,R
B,Prime,P13,NegWide,K&otildeik kitarrid ei ole kastides,guitar_some.png,guitar_all.png,L
B,Target,T7,NegWide,K&otildeik jäätised ei ole kastides,icecream_none.png,icecream_some.png,L
B,Filler_Type2,F37,NA,Elevandid on kastides,camera_all.png,elephant_all.png,R
B,Filler_Type1,F8,NA,K&otildeik haamrid on kastides ,hammer_none.png,hammer_all.png,R
B,Prime,P12,NegWide,K&otildeik kassid ei ole kastides,cat_some.png,cat_all.png,L
B,Prime,P11,NegWide,K&otildeik kahvlid ei ole kastides,fork_all.png,fork_some.png,R
B,Target,T6,NegWide,K&otildeik puud ei ole kastides,tree_none.png,tree_some.png,L
B,Filler_Type2,F36,NA,Raamatud on kastides,book_all.png,pear_all.png,L
B,Filler_Type1,F7,NA,K&otildeik mikrofonid on kastides,microphone_all.png,microphone_some.png,L
B,Prime,P10,Uwide,K&otildeik raketid ei ole kastides,rocket_none.png,rocket_all.png,L
B,Prime,P9,Uwide,K&otildeik siilid ei ole kastides,hedgehog_all.png,hedgehog_none.png,R
B,Target,T5,Uwide,K&otildeik laevad ei ole kastides,ship_some.png,ship_none.png,R
B,Filler_Type2,F29,NA,Prillid on kastides,glasses_all.png,pineapple_all.png,L
B,Filler_Type1,F1,NA,K&otildeik rongid on kastides,train_none.png,train_all.png,R
B,Filler_Type2,F28,NA,Pirnid on kastides,ship_all.png,pear_all.png,R
B,Filler_Type1,F4,NA,K&otildeik ananassid on kastides,pineapple_all.png,pineapple_none.png,L
B,Prime,P8,NegWide,K&otildeik l&otildevid ei ole kastides,lion_some.png,lion_all.png,L
B,Prime,P7,NegWide,K&otildeik kaktused ei ole kastides,cactus_some.png,cactus_all.png,L
B,Target,T4,NegWide,K&otildeik &otildehupallid  ei ole kastides,balloon_none.png,balloon_some.png,L
B,Filler_Type2,F34,NA,Banaanid on kastides,banana_all.png,panda_all.png,L
B,Filler_Type1,F3,NA,K&otildeik kaamerad on kastides,camera_some.png,camera_all.png,R
B,Filler_Type2,F33,NA,Arbuusid on kastides,melon_all.png,glasses_all.png,L
B,Prime,P6,Uwide,K&otildeik autod ei ole kastides,car_all.png,car_none.png,R
B,Prime,P5,Uwide,K&otildeik koerad ei ole kastides,dog_none.png,dog_all.png,L
B,Target,T3,Uwide,K&otildeik kruvid ei ole kastides,nail_none.png,nail_some.png,L
B,Filler_Type1,F2,NA,K&otildeik arbuusid on kastides ,melon_some.png,melon_all.png,R
B,Filler_Type2,F32,NA,Hamburgerid on kastides,hamburger_all.png,shoe_all.png,L
B,Prime,P4,NegWide,K&otildeik toolid ei ole kastides,chair_all.png,chair_some.png,R
B,Prime,P3,NegWide,K&otildeik bussid ei ole kastides,bus_all.png,bus_some.png,R
B,Target,T2,NegWide,K&otildeik kalad ei ole kastides,fish_some.png,fish_none.png,R
B,Filler_Type2,F31,NA,Kaelkirjakud on kastides,giraffe_all.png,mushroom_all.png,L
B,Filler_Type2,F30,NA,Puud on kastides,key_all.png,tree_all.png,R
B,Prime,P2,NegWide,K&otildeik arbuusid ei ole kastides,melon_some.png,melon_all.png,L
B,Prime,P1,NegWide,K&otildeik tiigrid ei ole kastides,tiger_all.png,tiger_some.png,R
B,Target,T1,NegWide,K&otildeik pliiatsid ei ole kastides,pencil_some.png,pencil_none.png,R
